bed,bath,acre_lot,zip_code,house_size,price,city
3.0,2.0,10.44,641.0,1251.0,180000.0,2135
6.0,3.0,28.17,641.0,5000.0,550000.0,2135
2.0,1.0,0.22,641.0,845.0,70000.0,2135
4.0,2.0,2.91,641.0,1000.0,198500.0,2135
5.0,3.0,0.1,641.0,950.0,75000.0,2135
4.0,2.0,2.06,641.0,1100.0,219900.0,2135
3.0,2.0,0.86,641.0,1700.0,95000.0,2135
13.0,4.0,0.2,641.0,600.0,99000.0,2135
3.0,1.0,0.28,641.0,781.0,75000.0,2135
6.0,3.0,30.0,641.0,5000.0,600000.0,2135
3.0,1.0,0.26,641.0,781.0,120000.0,2135
4.0,1.0,0.94,641.0,13818.0,108000.0,2135
3.0,2.0,135.0,641.0,1251.0,550000.0,2135
3.0,2.0,18.66,641.0,1251.0,200000.0,2135
3.0,2.0,2.91,641.0,1251.0,69995.0,2135
3.0,2.0,1.96,641.0,1251.0,60000.0,2135
3.0,2.0,139.0,641.0,1251.0,550000.0,2135
4.0,7.0,0.37,646.0,7096.0,12000000.0,528
3.0,3.0,0.24,646.0,2377.0,750000.0,528
3.0,3.0,0.16,646.0,2000.0,550000.0,528
4.0,3.0,0.14,646.0,2850.0,950000.0,528
5.0,3.0,0.14,646.0,3500.0,1150000.0,528
3.0,2.0,0.24,646.0,2000.0,5500000.0,528
4.0,7.0,0.75,646.0,7000.0,16000000.0,528
4.0,3.0,0.25,646.0,2900.0,995000.0,528
2.0,2.0,0.21,646.0,1155.0,595000.0,528
4.0,4.0,0.25,646.0,2900.0,1275000.0,528
4.0,3.0,0.15,646.0,2850.0,1135000.0,528
3.0,4.0,0.22,646.0,3100.0,4995000.0,528
4.0,4.0,0.25,646.0,3509.0,2500000.0,528
3.0,5.0,0.23,646.0,3200.0,5950000.0,528
4.0,5.0,0.21,646.0,5000.0,2849000.0,528
4.0,2.0,0.21,646.0,999.0,850000.0,528
4.0,4.0,0.15,646.0,6703.0,6495000.0,528
7.0,4.0,0.21,646.0,2767.0,1300000.0,528
3.0,4.0,0.06,646.0,2500.0,6350000.0,528
4.0,4.0,0.07,646.0,3090.0,300000.0,528
3.0,4.0,0.09,646.0,3914.0,5900000.0,528
4.0,3.0,0.23,646.0,3337.0,1775000.0,528
4.0,4.0,0.23,646.0,2900.0,1795000.0,528
3.0,3.0,0.21,646.0,3095.0,4600000.0,528
3.0,3.0,13.65,646.0,1942.0,1500000.0,528
7.0,6.0,0.26,646.0,4800.0,3950000.0,528
6.0,4.0,0.21,646.0,1495.0,1250000.0,528
3.0,3.0,0.47,646.0,3095.0,3995000.0,528
4.0,2.0,0.51,659.0,1641.0,97900.0,892
4.0,4.0,0.2,685.0,1760.0,144900.0,892
3.0,3.0,2.91,676.0,2485.0,265000.0,1299
3.0,1.0,0.15,795.0,800.0,99000.0,1010
3.0,2.0,0.1,729.0,1200.0,76900.0,312
3.0,1.0,0.1,728.0,1100.0,95000.0,1650
4.0,3.0,0.22,678.0,900.0,245000.0,309
3.0,2.0,1.07,669.0,4161.0,25000.0,1078
3.0,2.0,65.07,612.0,1100.0,289000.0,61
3.0,3.0,0.14,676.0,2485.0,28000.0,1299
3.0,2.0,4.22,669.0,4161.0,325000.0,1078
5.0,4.0,0.6,717.0,1600.0,103000.0,1650
6.0,3.0,0.71,766.0,1943.0,1000000.0,2159
3.0,3.0,0.72,731.0,2460.0,225000.0,1650
3.0,2.0,0.08,795.0,1084.0,119000.0,1010
4.0,2.0,0.35,795.0,1918.0,97000.0,1010
4.0,3.0,5.05,730.0,1520.0,210000.0,1650
4.0,1.0,0.8,731.0,921.0,67600.0,1650
3.0,1.0,0.09,795.0,870.0,102900.0,1010
3.0,2.0,0.22,685.0,1134.0,121000.0,1821
4.0,2.0,0.15,669.0,1597.0,81000.0,1078
3.0,2.0,0.08,731.0,1250.0,84900.0,1650
5.0,2.0,0.25,728.0,2283.0,99000.0,1650
3.0,2.0,0.09,664.0,1100.0,120000.0,998
3.0,2.0,0.04,731.0,1547.0,106000.0,1650
4.0,2.0,0.2,769.0,1700.0,225000.0,416
3.0,2.0,0.04,731.0,980.0,74000.0,1650
3.0,1.0,0.12,659.0,930.0,85000.0,892
3.0,1.0,0.68,730.0,905.0,54000.0,1650
3.0,1.0,0.04,716.0,1025.0,65000.0,1650
2.0,2.0,0.25,730.0,1004.0,126600.0,1650
